確定病名,發病年份,發病週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數
嚴重特殊傳染性肺炎,2023,10,台中市,大里區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台中市,豐原區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台中市,北屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台中市,豐原區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,10,台北市,信義區,F,否,30-34,1
嚴重特殊傳染性肺炎,2023,10,台北市,中山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台北市,文山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台北市,士林區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,台北市,士林區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台北市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,台南市,仁德區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,南投縣,竹山鎮,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,10,南投縣,南投市,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,屏東縣,屏東市,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,屏東縣,恆春鎮,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,10,屏東縣,東港鎮,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,桃園市,龜山區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,10,桃園市,楊梅區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,桃園市,龜山區,M,否,35-39,1
嚴重特殊傳染性肺炎,2023,10,桃園市,龍潭區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,桃園市,八德區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,桃園市,楊梅區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,高雄市,鳳山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,高雄市,六龜區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,高雄市,前鎮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,雲林縣,林內鄉,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,10,雲林縣,斗六市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,汐止區,F,否,60-64,1
嚴重特殊傳染性肺炎,2023,10,新北市,新莊區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,10,新北市,中和區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,汐止區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,瑞芳區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,土城區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,10,新北市,三重區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,中和區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,永和區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,汐止區,M,否,70+,2
嚴重特殊傳染性肺炎,2023,10,新北市,板橋區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,新北市,鶯歌區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,10,嘉義縣,民雄鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,台中市,大里區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,太平區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,北屯區,F,否,70+,2
嚴重特殊傳染性肺炎,2023,11,台中市,北區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,西屯區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,東勢區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,潭子區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,太平區,M,否,30-34,1
嚴重特殊傳染性肺炎,2023,11,台中市,潭子區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,11,台中市,大雅區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,11,台中市,北屯區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,11,台中市,南屯區,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,台中市,大甲區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,東區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,南屯區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台中市,清水區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,信義區,F,否,25-29,1
嚴重特殊傳染性肺炎,2023,11,台北市,南港區,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,台北市,大安區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,台北市,士林區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,大安區,F,否,70+,3
嚴重特殊傳染性肺炎,2023,11,台北市,松山區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,萬華區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,士林區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,大安區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,中正區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台北市,信義區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台東縣,東河鄉,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,台南市,新營區,F,否,2,1
嚴重特殊傳染性肺炎,2023,11,台南市,中西區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,台南市,安南區,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台南市,永康區,M,否,45-49,1
嚴重特殊傳染性肺炎,2023,11,台南市,永康區,M,否,60-64,1
嚴重特殊傳染性肺炎,2023,11,台南市,北區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,台南市,新營區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,花蓮縣,新城鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,花蓮縣,光復鄉,M,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,花蓮縣,花蓮市,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,南投縣,南投市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,南投縣,埔里鎮,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,屏東縣,屏東市,F,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,屏東縣,屏東市,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,屏東縣,萬丹鄉,F,否,70+,1
嚴重特殊傳染性肺炎,2023,11,屏東縣,枋寮鄉,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,苗栗縣,竹南鎮,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,11,桃園市,蘆竹區,F,否,0,1
嚴重特殊傳染性肺炎,2023,11,桃園市,八德區,F,否,50-54,1
嚴重特殊傳染性肺炎,2023,11,桃園市,桃園區,F,否,65-69,1
嚴重特殊傳染性肺炎,2023,11,桃園市,桃園區,M,否,1,1
嚴重特殊傳染性肺炎,2023,11,桃園市,桃園區,M,否,50-54,1
嚴重特殊傳染性肺炎,2023,11,桃園市,桃園區,M,否,55-59,2
嚴重特殊傳染性肺炎,2023,11,桃園市,龜山區,M,否,55-59,1
嚴重特殊傳染性肺炎,2023,11,桃園市,新屋區,M,否,60-64,2
嚴重特殊傳染性肺炎,2023,11,桃園市,八德區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,桃園市,大園區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,桃園市,平鎮區,M,否,70+,1
嚴重特殊傳染性肺炎,2023,11,桃園市,桃園區,M,否,70+,3
