EVC_NO,USER_ID,START_DATE,START_TIME,END_DATE,END_TIME,VAC_HRS,STATUS,START_FLAG,AGENT_NO,VAC_TYPE,DEL_FLAG,REMARK,CREATED_BY,CREATION_DATE,LAST_UPDATED_BY,LAST_UPDATE_DATE,SUBMIT_TIME,DELAY_FLAG,SOURCE_NUMBER
EVC202111020122,I20030,2021-11-22,0900,2021-11-26,1800,40,N,Y,I40014,1V,N,病假（開刀）,I20030,"2021-11-02 11:58:07",I20030,"2021-11-02 11:58:07","2021-11-02 11:58:07",N,NULL
EVC202111020123,L20065,2021-11-03,0930,2021-11-03,1830,8,Y,Y,L20068,C,N,疫苗接種第二劑,L20065,"2021-11-02 13:23:19",L20065,"2021-11-02 13:23:19","2021-11-02 13:23:19",N,NULL
EVC202111020124,L20065,2021-11-04,0930,2021-11-04,1830,8,Y,Y,L20068,C,N,疫苗接種第二劑,L20065,"2021-11-02 13:24:28",L20065,"2021-11-02 13:24:28","2021-11-02 13:24:29",N,NULL
EVC202111020125,S20109,2021-11-02,1430,2021-11-02,1830,4,Y,Y,L20065,1V,N,複診,S20109,"2021-11-02 13:32:40",S20109,"2021-11-02 13:32:40","2021-11-02 13:32:40",N,NULL
EVC202111020126,I20031,2021-11-01,0900,2021-11-01,1800,8,Y,Y,I20036,E,N,疫苗假,I20031,"2021-11-02 13:43:03",I20031,"2021-11-02 13:43:03","2021-11-02 13:43:03",Y,NULL
EVC202111020127,I20036,2021-11-25,0900,2021-11-25,1800,8,Y,Y,I20031,1V,N,,I20036,"2021-11-02 13:46:27",I20036,"2021-11-02 13:46:27","2021-11-02 13:46:27",N,NULL
EVC202111020128,I20031,2021-11-09,0900,2021-11-09,1800,8,Y,Y,I20036,1V,N,特休,I20031,"2021-11-02 13:47:50",I20031,"2021-11-02 13:47:50","2021-11-02 13:47:50",N,NULL
EVC202111020130,I20032,2021-11-01,0900,2021-11-09,1800,56,Y,Y,I20020,H21,N,小產-妊娠二個月以上未滿三個月流產,I20032,"2021-11-02 15:09:52",I20032,"2021-11-08 21:11:27","2021-11-08 21:11:27",Y,NULL
EVC202111020131,I20037,2021-11-10,0900,2021-11-10,1800,8,Y,Y,I40013,1V,N,,I20037,"2021-11-02 15:28:12",I20037,"2021-11-02 15:28:12","2021-11-02 15:28:12",N,NULL
EVC202111020132,I20036,2021-11-19,0900,2021-11-19,1800,8,Y,Y,I20031,1V,N,,I20036,"2021-11-02 15:28:35",I20036,"2021-11-02 15:28:35","2021-11-02 15:28:36",N,NULL
EVC202111020133,I20030,2021-11-22,0900,2021-11-26,1800,40,Y,Y,I40014,1V,N,開刀,I20030,"2021-11-02 22:52:42",I20030,"2021-11-02 22:52:42","2021-11-02 22:52:42",N,NULL
EVC202111080134,S000K3,2021-11-12,0930,2021-11-12,1830,8,Y,Y,G40036,1V,N,,S000K3,"2021-11-08 13:03:43",S000K3,"2021-11-08 13:03:43","2021-11-08 13:03:43",N,NULL
EVC202111080135,G20032,2021-11-19,1400,2021-11-19,1800,4,Y,Y,G20033,1V,N,,G20032,"2021-11-08 13:13:39",G20032,"2021-11-08 13:13:39","2021-11-08 13:13:39",N,NULL
EVC202111080136,G40033,2021-11-12,0930,2021-11-12,1830,8,Y,Y,G40036,I1,N,打疫苗,G40033,"2021-11-08 13:25:13",G40033,"2021-11-08 13:25:13","2021-11-08 13:25:13",N,NULL
EVC202111080138,G40035,2021-11-18,0930,2021-11-18,1830,8,Y,Y,G40036,1V,N,載家人去醫院開刀,G40035,"2021-11-08 18:21:22",G40035,"2021-11-08 18:21:22","2021-11-08 18:21:23",N,NULL
EVC202111090139,A40104,2021-11-03,0930,2021-11-04,1830,16,Y,Y,B40031,E,N,疫苗假,A40104,"2021-11-09 13:26:23",A40104,"2021-11-09 13:26:23","2021-11-09 13:26:24",Y,NULL
EVC202111090141,I20038,2021-11-12,0900,2021-11-12,1800,8,Y,Y,I40014,1V,N,特休假,I20038,"2021-11-09 21:10:16",I20038,"2021-11-09 21:10:16","2021-11-09 21:10:16",N,NULL
EVC202111100147,F20027,2021-11-11,0930,2021-11-11,1830,8,Y,Y,F20034,1V,N,,F20027,"2021-11-10 21:33:16",F20027,"2021-11-10 21:33:16","2021-11-10 21:33:17",N,NULL
EVC202111110148,F20030,2021-11-19,1430,2021-11-19,1830,4,Y,Y,F40024,1V,N,,F20030,"2021-11-11 12:52:36",F20030,"2021-11-11 12:52:36","2021-11-11 12:52:36",N,NULL
